hour,dow,prob
1,0,0.0010436803965985506
1,1,0.0004744001802720685
1,2,0.0005455602073128787
1,3,0.001280880486734585
1,4,0.001399480531802602
1,5,0.0013520405137753952
1,6,0.0017078406489794465
2,0,0.0010911204146257574
2,1,0.0005218401982992753
2,2,0.0007116002704081028
2,3,0.0007590402884353096
2,4,0.0007116002704081028
2,5,0.001945040739115481
2,6,0.0018501607030610673
3,0,0.0011860004506801713
3,1,0.0005930002253400857
3,2,0.0005930002253400857
3,3,0.0008539203244897233
3,4,0.0007116002704081028
3,5,0.0020873607931971012
3,6,0.001897600721088274
4,0,0.0021585208202379116
4,1,0.0014943605678570159
4,2,0.0016604006309522397
4,3,0.001565520594897826
4,4,0.0019213207301018774
4,5,0.00256176097346917
4,6,0.0028701210906460143
5,0,0.004577961739625461
5,1,0.0037714814331629445
5,2,0.003890081478230962
5,3,0.003890081478230962
5,4,0.0041747215863942025
5,5,0.002965001126700428
5,6,0.0026566410095235837
6,0,0.0067839225778905795
6,1,0.0065467224877545456
6,2,0.0065467224877545456
6,3,0.005835122217346443
6,4,0.006356962415645718
6,5,0.0032022012168364624
6,6,0.0026329210005099804
7,0,0.010626564038094335
7,1,0.010816324110203161
7,2,0.01067400405612154
7,3,0.010531684002039922
7,4,0.00948800360544137
7,5,0.004649121766666271
7,6,0.002846401081632411
8,0,0.008278283145747595
8,1,0.010626564038094335
8,2,0.009298243533332542
8,3,0.008942443398128492
8,4,0.00955916363248218
8,5,0.006048602298468873
8,6,0.0028938410996596177
9,0,0.008183403109693182
9,1,0.009464283596427767
9,2,0.008420603199829216
9,3,0.007424362821257872
9,4,0.008207123118706786
9,5,0.005882562235373649
9,6,0.0025380409644555663
10,0,0.00858664326292444
10,1,0.00941684357840056
10,2,0.009725203695577405
10,3,0.009037323434182905
10,4,0.008752683326019663
10,5,0.007590402884353096
10,6,0.0036528813880949275
11,0,0.009227083506291733
11,1,0.01031820392091749
11,2,0.011290724290475231
11,3,0.009986123794727042
11,4,0.011077244209352799
11,5,0.008539203244897233
11,6,0.003866361469217358
12,0,0.006179062348043692
12,1,0.006428122442686529
12,2,0.005752102185798831
12,3,0.005823262212839641
12,4,0.006606022510288554
12,5,0.006084182311989279
12,6,0.004008681523298979
13,0,0.010294483911903886
13,1,0.010555404011053524
13,2,0.010436803965985507
13,3,0.00989124375867263
13,4,0.011314444299488835
13,5,0.010650284047107939
13,6,0.004815161829761496
14,0,0.010887484137243972
14,1,0.01046052397499911
14,2,0.01079260410118956
14,3,0.010816324110203161
14,4,0.012358124696087384
14,5,0.010555404011053524
14,6,0.0057639621903056324
15,0,0.010531684002039922
15,1,0.011314444299488835
15,2,0.010555404011053524
15,3,0.010816324110203161
15,4,0.012334404687073782
15,5,0.00880012334404687
15,6,0.005479322082142391
16,0,0.012002324560883333
16,1,0.012239524651019367
16,2,0.012429284723128195
16,3,0.01136188431751604
16,4,0.013425525101699538
16,5,0.00872896331700606
16,6,0.0055267621001695985
17,0,0.010863764128230369
17,1,0.012310684678060178
17,2,0.012761364849318642
17,3,0.01067400405612154
17,4,0.013876205272958004
17,5,0.0069025226229585965
17,6,0.0042696016224486166
18,0,0.008207123118706786
18,1,0.009227083506291733
18,2,0.009250803515305335
18,3,0.008278283145747595
18,4,0.009820083731631818
18,5,0.006736482559863373
18,6,0.00436448165850303
19,0,0.007258322758162648
19,1,0.007424362821257872
19,2,0.008420603199829216
19,3,0.00768528292040751
19,4,0.007993643037584354
19,5,0.0069262426319722
19,6,0.0050760819289111326
20,0,0.005147241955951943
20,1,0.0045068017125846505
20,2,0.005099801937924736
20,3,0.004981201892856719
20,4,0.005811402208332839
20,5,0.005669082154251218
20,6,0.005028641910883926
21,0,0.0033919612889452898
21,1,0.003961241505271772
21,2,0.003913801487244565
21,3,0.0036054413700677204
21,4,0.005455602073128788
21,5,0.004981201892856719
21,6,0.003439401306972497
22,0,0.002727801036564394
22,1,0.0026092009914963766
22,2,0.0032022012168364624
22,3,0.003297081252890876
22,4,0.004767721811734288
22,5,0.00443564168554384
22,6,0.0031547611988092554
23,0,0.0020162007661562913
23,1,0.0018264406940474637
23,2,0.0021348008112243083
23,3,0.0020162007661562913
23,4,0.00429332163146222
23,5,0.003842641460203755
23,6,0.0024906009464283597
